index,Company,TypeName,inches,resolution_width,resolution_height,touchscreen,cpu_name,cpu_brand,cpu_speed,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,OpSys,Weight,Price
70,Microsoft,Ultrabook,13.50,2256,1504,1,"Core i5",Intel,2.50,4,SSD,128,0,Intel,windows,1.252,58021.92
71,Dell,Ultrabook,13.30,1920,1080,0,"Core i7",Intel,1.80,64,SSD,256,0,AMD,windows,1.4,50882.4
72,Dell,Notebook,15.60,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,AMD,windows,2.2,46353.6
73,MSI,Gaming,17.30,1920,1080,0,"Core i5",Intel,2.50,8,Hybrid,128,1024,Nvidia,windows,2.7,58341.6
74,Acer,Notebook,14.00,1366,768,0,"Core i3",Intel,2.00,8,HDD,1024,0,Intel,windows,2.1,20725.92
75,Asus,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,8,HDD,1024,0,Nvidia,windows,2.2,50562.72
76,Lenovo,Notebook,15.60,1920,1080,0,"Core i5",Intel,2.50,8,HDD,2048,0,Intel,N/A,2.2,27652.32
77,Dell,Notebook,15.60,1920,1080,0,"Core i7",Intel,1.80,8,Hybrid,128,1024,Intel,windows,2.02,45554.4
78,Acer,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.70,4,HDD,1024,0,Nvidia,windows,2.2,28238.4
79,HP,Notebook,17.30,1920,1080,0,"Core i5",Intel,1.60,8,Hybrid,128,1024,Nvidia,windows,2.5,52054.56
80,Dell,Ultrabook,15.60,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.88,58403.4048
81,Apple,Ultrabook,12.00,2304,1440,0,"Core i5",Intel,1.30,8,SSD,512,0,Intel,macos,0.92,80452.8
82,HP,Notebook,14.00,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.63,45820.8
83,Lenovo,Notebook,15.60,1920,1080,0,"A6-Series 9220",AMD,2.50,4,SSD,128,0,AMD,windows,2.2,21258.72
84,Acer,Notebook,15.60,1366,768,0,"A9-Series 9420",AMD,3.00,4,HDD,1024,0,AMD,windows,2.1,21045.6
85,Dell,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,128,1024,Nvidia,windows,2.65,71874.72
86,HP,Ultrabook,15.60,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Nvidia,windows,1.83,37242.72
87,HP,Notebook,15.60,1920,1080,0,"Core i5",Intel,2.50,8,SSD,256,0,Intel,windows,1.96,31914.1872
88,Asus,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,128,1024,Nvidia,windows,2.2,77202.72
89,Dell,Ultrabook,13.30,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Intel,windows,1.21,87858.72
90,Asus,Gaming,15.60,1920,1080,0,"FX 9830P",AMD,3.00,8,HDD,1024,0,AMD,windows,2.45,37242.72
91,Acer,Notebook,15.60,1920,1080,0,"Core i7",Intel,1.80,2,HDD,1024,0,Nvidia,windows,2.2,36709.92
92,HP,Notebook,13.30,1920,1080,0,"Core i7",Intel,1.80,16,SSD,512,0,Intel,windows,1.49,63776.16
93,Dell,Gaming,15.60,1920,1080,0,"Core i5",Intel,2.50,8,SSD,256,0,Nvidia,windows,2.65,63669.6
94,Asus,Ultrabook,14.00,1920,1080,0,"Core i7",Intel,2.70,8,SSD,256,0,Intel,windows,1.25,55890.72
95,Acer,"2 in 1 Convertible",13.30,1920,1080,1,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.5,45128.16
96,Dell,Notebook,15.60,1920,1080,0,"Core i7",Intel,2.70,8,HDD,1024,0,AMD,linux,2.2,31962.672
97,Dell,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.00,4,SSD,256,0,AMD,linux,2.2,25840.8
98,Asus,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.40,6,SSD,256,0,Nvidia,windows,2,30742.56
99,HP,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,12,Hybrid,128,1024,Nvidia,windows,2.62,66546.72
100,HP,Notebook,15.60,1920,1080,0,"Core i7",Intel,2.70,8,SSD,256,0,AMD,windows,1.91,38308.32
101,HP,Notebook,15.60,1920,1080,0,"E-Series E2-9000e",AMD,1.50,4,HDD,500,0,AMD,windows,2.1,18594.72
102,Dell,Notebook,15.60,1920,1080,0,"Core i5",Intel,1.60,8,HDD,1024,0,AMD,linux,2.2,34472.16
103,HP,Ultrabook,13.30,1920,1080,0,"Core i7",Intel,2.70,8,SSD,256,0,Nvidia,windows,1.38,59620.32
104,Microsoft,Ultrabook,13.50,2256,1504,1,"Core i5",Intel,2.50,8,SSD,256,0,Intel,windows,1.252,71395.2
105,HP,Notebook,14.00,1920,1080,0,"Core i5",Intel,2.50,6,SSD,256,0,Nvidia,windows,1.58,35111.52
106,Lenovo,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.00,4,HDD,1024,0,Intel,windows,1.85,22105.872
107,Asus,Ultrabook,14.00,1920,1080,0,"Core i7",Intel,2.70,8,SSD,256,0,Nvidia,windows,1.3,63563.04
108,MSI,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,256,1024,Nvidia,windows,2.2,69210.72
109,Lenovo,Notebook,14.00,1920,1080,0,"Core i7",Intel,2.70,8,SSD,256,0,Intel,windows,1.58,78854.4
110,Asus,Ultrabook,15.60,1920,1080,0,"Core i7",Intel,1.80,16,Hybrid,256,1024,Nvidia,windows,1.5,67239.36
111,Dell,Ultrabook,13.30,3200,1800,1,"Core i7",Intel,2.40,8,SSD,256,0,Intel,windows,1.23,73473.12
112,Lenovo,"2 in 1 Convertible",13.30,1920,1080,1,"Core i5",Intel,2.50,8,SSD,256,0,Intel,windows,1.37,74538.72
113,HP,Notebook,14.00,1366,768,0,"Core i5",Intel,1.60,4,HDD,500,0,Intel,windows,1.63,38468.16
114,Dell,Ultrabook,13.30,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.21,86793.12
116,HP,Notebook,14.00,1920,1080,0,"Core i7",Intel,1.80,8,SSD,512,0,Intel,windows,1.63,57755.52
117,Dell,Notebook,15.60,1920,1080,0,"Core i7",Intel,1.80,8,Hybrid,256,1024,Nvidia,windows,2.16,60223.9824
118,Asus,Notebook,17.30,1920,1080,0,"Core i3",Intel,2.00,4,HDD,1024,0,Nvidia,windows,2,30049.92
119,Asus,Notebook,15.60,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Nvidia,windows,1.7,59567.04
120,Acer,Notebook,15.60,1920,1080,1,"Core i3",Intel,2.40,6,HDD,1024,0,Intel,windows,2.1,25521.12
121,MSI,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,256,2048,Nvidia,windows,1.8,119427.12
122,Lenovo,Notebook,15.60,1920,1080,0,"Core i5",Intel,2.50,8,SSD,256,0,Nvidia,N/A,2.2,33513.12
123,HP,Notebook,17.30,1920,1080,0,"Core i7",Intel,1.80,16,SSD,512,0,Nvidia,windows,2.5,67718.88
124,Acer,Notebook,15.60,1366,768,0,"A9-Series 9420",AMD,3.00,4,SSD,256,0,AMD,windows,2.1,24029.28
126,HP,Notebook,14.00,1920,1080,0,"Core i5",Intel,1.60,8,HDD,1024,0,Intel,windows,1.63,43263.36
127,Asus,Notebook,14.00,1366,768,0,"E-Series 6110",AMD,1.50,4,SSD,64,0,AMD,windows,1.65,14811.3072
128,Dell,Notebook,17.30,1920,1080,0,"Core i7",Intel,1.80,16,Hybrid,256,2048,AMD,windows,2.8,74378.88
129,HP,Notebook,17.30,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,2.5,49443.84
130,Dell,Notebook,15.60,1366,768,0,"Core i5",Intel,2.50,8,HDD,1024,0,AMD,windows,2.36,34045.3872
131,Dell,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.00,4,HDD,1024,0,AMD,windows,2.2,23922.72
132,Acer,Ultrabook,14.00,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Intel,windows,1.6,47099.52
133,Acer,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.70,4,SSD,256,0,Nvidia,windows,7.2,30476.16
134,HP,Notebook,15.60,1366,768,0,"Core i7",Intel,2.70,8,HDD,1024,0,Intel,windows,2.05,31861.44
135,HP,Notebook,14.00,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Intel,windows,1.63,52640.64
136,Lenovo,Notebook,15.60,1366,768,0,"Celeron Dual",Intel,1.10,4,HDD,1024,0,Intel,N/A,1.9,13445.7408
137,Asus,Gaming,17.30,1920,1080,0,"Core i5",Intel,2.50,8,Hybrid,128,1024,Nvidia,windows,3,49976.64
138,Lenovo,Notebook,15.60,1920,1080,0,"Core i5",Intel,2.50,4,HDD,1024,0,Nvidia,N/A,2.2,26586.72
139,HP,Notebook,13.30,1920,1080,0,"Core i5",Intel,2.50,4,SSD,256,0,Intel,windows,1.32,37242.72
140,Acer,Notebook,17.30,1920,1080,0,"Core i3",Intel,2.70,4,HDD,1024,0,Nvidia,windows,3,34898.4
141,Lenovo,Notebook,14.00,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,AMD,windows,1.75,59461.5456
142,Lenovo,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,8,SSD,256,0,Nvidia,N/A,2.4,46300.32
143,Toshiba,Notebook,15.60,1366,768,0,"Core i5",Intel,2.30,4,HDD,500,0,Intel,windows,2.1,32074.56
144,HP,Notebook,15.60,1366,768,0,"A6-Series 9220",AMD,2.50,4,SSD,256,0,AMD,windows,1.86,19660.32
145,Asus,Ultrabook,14.00,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Intel,windows,1.25,58554.72
146,HP,Ultrabook,12.50,3840,2160,1,"Core M",Intel,1.20,8,SSD,512,0,Intel,windows,0.97,107305.92
147,Asus,Notebook,15.60,1920,1080,0,"Celeron Dual",Intel,1.10,4,HDD,1024,0,Intel,windows,2,18328.32
149,Acer,Notebook,15.60,1366,768,0,"Core i3",Intel,2.00,4,HDD,1024,0,Intel,windows,2.1,23816.16
150,Dell,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,16,SSD,512,0,Nvidia,windows,2.56,66560.5728
151,Dell,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,8,Hybrid,1024,0,Nvidia,windows,2.62,47898.72
152,Lenovo,Notebook,15.60,1366,768,0,"Core i5",Intel,2.50,4,SSD,128,0,Intel,windows,1.9,26533.44
153,MSI,Gaming,17.30,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,256,1024,Nvidia,windows,2.8,100699.2
154,HP,Ultrabook,14.00,1920,1080,0,"Core i5",Intel,2.70,4,SSD,256,0,Intel,windows,1.48,57648.96
155,HP,Notebook,15.60,1920,1080,0,"Core i5",Intel,1.60,6,SSD,256,0,AMD,windows,1.91,32980.32
156,Lenovo,"2 in 1 Convertible",14.00,1920,1080,1,"Core i3",Intel,2.40,4,SSD,256,0,Intel,windows,1.74,33513.12
157,Asus,"2 in 1 Convertible",13.30,1920,1080,1,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.1,70063.2
158,Dell,"2 in 1 Convertible",15.60,1920,1080,1,"Core i7",Intel,1.80,8,SSD,256,0,Intel,windows,1.56,55890.72
159,Toshiba,Notebook,15.60,1366,768,0,"Core i3",Intel,2.20,4,HDD,500,0,Intel,windows,2.1,23816.16
160,Asus,Notebook,15.60,1366,768,0,"A9-Series 9420",AMD,3.00,4,HDD,1024,0,AMD,windows,2.03,21471.84
161,Acer,Notebook,17.30,1920,1080,0,"Core i5",Intel,1.60,4,SSD,256,0,Nvidia,windows,3,42890.4
162,Dell,Notebook,15.60,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,AMD,windows,2.13,38787.84
163,Lenovo,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,16,SSD,256,0,Nvidia,windows,2.5,57489.12
164,Acer,Notebook,15.60,1366,768,0,"Celeron Dual",Intel,1.10,4,HDD,1024,0,Intel,windows,2.1,18541.44
165,MSI,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,256,1024,Nvidia,windows,2.4,95850.72
166,Acer,Notebook,15.60,1366,768,0,"Pentium Quad",Intel,1.10,4,HDD,1024,0,Intel,windows,2.1,19367.8128
167,Dell,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,8,Hybrid,128,1024,Nvidia,windows,2.56,56502.9072
168,Acer,Notebook,17.30,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Nvidia,windows,3,45501.12
169,HP,Notebook,13.30,1920,1080,0,"Core i5",Intel,1.60,4,HDD,500,0,Intel,windows,1.49,40173.12
170,Huawei,Ultrabook,13.00,2160,1440,0,"Core i5",Intel,2.50,8,SSD,256,0,Intel,windows,1.05,71874.72
171,HP,Notebook,17.30,1920,1080,0,"Core i5",Intel,2.50,6,HDD,2048,0,AMD,windows,2.71,37242.72
172,Lenovo,Notebook,15.60,1366,768,0,"A6-Series 9220",AMD,2.90,4,HDD,500,0,AMD,N/A,2.2,16463.52
173,Toshiba,Notebook,15.60,1366,768,0,"Core i3",Intel,2.40,4,HDD,500,0,Intel,windows,5.4,26053.92
174,HP,Notebook,17.30,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Nvidia,windows,2.5,49177.44
175,Dell,Notebook,15.60,1366,768,0,"Core i3",Intel,2.40,8,HDD,1024,0,Intel,windows,2.3,24455.52
176,Acer,Notebook,15.60,1366,768,0,"Core i3",Intel,2.00,4,SSD,128,0,Intel,windows,2.1,23922.72
177,MSI,Gaming,18.40,1920,1080,0,"Core i7",Intel,2.90,32,Hybrid,512,1024,Nvidia,windows,4.4,149130.72
178,Lenovo,Notebook,15.60,1920,1080,0,"Core i5",Intel,2.50,8,Hybrid,128,1024,AMD,windows,1.90,43316.64
179,HP,"2 in 1 Convertible",13.30,3840,2160,1,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.29,79866.72
180,Dell,Notebook,15.60,1920,1080,0,"Core i7",Intel,1.80,16,Hybrid,256,2048,AMD,linux,2.02,55890.72
181,Dell,Ultrabook,13.30,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.23,74538.72
182,Lenovo,"2 in 1 Convertible",13.90,3840,2160,1,"Core i7",Intel,1.80,16,SSD,512,0,Intel,windows,1.4,98514.72
183,Toshiba,Notebook,15.60,1366,768,0,"Core i5",Intel,2.50,8,SSD,128,0,Intel,windows,2.0,42251.04
184,Xiaomi,Notebook,15.60,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Nvidia,N/A,1.95,63882.72
185,Dell,Notebook,17.30,1920,1080,1,"Core i7",Intel,1.80,16,SSD,512,0,Nvidia,windows,2.77,82530.72
186,Dell,Notebook,15.60,3840,2160,1,"Core i7",Intel,2.80,16,SSD,512,0,Nvidia,windows,2.06,127712.16
187,Lenovo,Gaming,15.60,1920,1080,0,"Core i5",Intel,2.50,8,SSD,256,0,Nvidia,N/A,2.4,41505.12
188,Acer,Ultrabook,13.30,1920,1080,0,"Core i5",Intel,1.20,8,SSD,256,0,Intel,windows,1.12,52693.92
189,Dell,Notebook,17.30,1920,1080,0,"Core i7",Intel,1.80,8,Hybrid,128,1024,AMD,windows,2.8,57808.8
191,Vero,Notebook,14.00,1920,1080,0,"Celeron Dual",Intel,1.10,4,"Flash Storage",32,0,Intel,windows,1.3,13852.8
192,Xiaomi,Ultrabook,13.30,1920,1080,0,"Core i5",Intel,2.50,8,SSD,256,0,Nvidia,N/A,1.3,53274.672
193,Lenovo,Notebook,17.30,1600,900,0,"Core i5",Intel,1.60,8,SSD,256,0,Nvidia,N/A,2.8,37189.44
194,Dell,"2 in 1 Convertible",13.30,1920,1080,1,"Core i7",Intel,1.80,8,HDD,1024,0,Intel,windows,1.62,44701.92
195,HP,Notebook,17.30,1920,1080,0,"Core i5",Intel,1.60,8,HDD,1024,0,Nvidia,windows,2.5,48697.92
196,Razer,Gaming,17.30,3840,2160,1,"Core i7",Intel,2.90,32,SSD,1024,0,Nvidia,windows,3.49,324954.72
197,HP,Notebook,13.30,1920,1080,0,"Core i5",Intel,1.60,8,SSD,512,0,Intel,windows,1.49,51095.52
198,HP,Gaming,17.30,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,256,1024,Nvidia,windows,3.35,73473.12
199,HP,Notebook,17.30,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Nvidia,windows,2.5,55677.6
200,Dell,Gaming,15.60,3840,2160,0,"Core i7",Intel,2.80,16,Hybrid,512,1024,Nvidia,windows,2.65,98301.6
201,Lenovo,Notebook,15.60,1366,768,0,"Core i5",Intel,2.30,4,SSD,128,0,Intel,windows,2.1,26267.04
202,Acer,Notebook,15.60,1920,1080,0,"Core i7",Intel,2.70,8,HDD,1024,0,Nvidia,windows,2.23,39533.76
203,Lenovo,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,512,1024,Nvidia,windows,3.2,93186.72
204,Dell,Workstation,15.60,3840,2160,0,"Xeon E3-1505M",Intel,3.00,16,Hybrid,256,1024,Nvidia,windows,2.8,162770.4
205,Lenovo,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,16,SSD,512,0,Nvidia,N/A,2.4,74485.44
206,Dell,Notebook,15.60,1366,768,1,"Core i3",Intel,2.40,6,HDD,1024,0,Intel,windows,2.3,23389.92
207,Dell,Ultrabook,13.30,3840,2160,1,"Core i7",Intel,1.80,8,SSD,256,0,Intel,windows,1.21,103842.72
208,Dell,Ultrabook,13.30,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Intel,windows,?,77202.72
210,Acer,Notebook,15.60,1920,1080,0,"Core i7",Intel,2.80,8,HDD,1024,0,Nvidia,linux,2.4,41505.12
211,Asus,Gaming,17.30,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,256,1024,Nvidia,windows,2.9,74964.96
212,HP,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.00,4,HDD,500,0,Intel,N/A,2.1,18594.72
213,Lenovo,Notebook,15.60,1920,1080,0,"Core i5",Intel,2.50,8,SSD,256,0,Intel,N/A,2.2,29250.72
214,Huawei,Ultrabook,13.00,2160,1440,0,"Core i7",Intel,2.70,8,SSD,512,0,Intel,windows,1.05,79866.72
215,Dell,Ultrabook,13.30,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,AMD,windows,1.4,49650.5664
216,Lenovo,Notebook,17.30,1600,900,0,"Core i5",Intel,2.50,8,HDD,1024,0,Nvidia,N/A,2.8,31381.92
217,HP,Notebook,14.00,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Nvidia,windows,1.63,54931.68
